code,type,count,description,Group,Larger group
55091,Diagnosis,62,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified, recurrent",Diseases Of The Digestive System,Diseases Of The Digestive System
2774,Diagnosis,62,Disorders of bilirubin excretion,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
35801,Diagnosis,62,Myasthenia gravis with (acute) exacerbation,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
7991,Diagnosis,62,Respiratory arrest,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
8080,Diagnosis,62,Closed fracture of acetabulum,Injury And Poisoning,"Injury, Poisoning & External Causes"
E9203,Diagnosis,61,"Accidents caused by knives, swords, and daggers",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
8441,Diagnosis,61,Sprain of medial collateral ligament of knee,Injury And Poisoning,"Injury, Poisoning & External Causes"
3679,Diagnosis,61,Unspecified disorder of refraction and accommodation,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71964,Diagnosis,61,"Other symptoms referable to joint, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
61889,Diagnosis,61,Other specified genital prolapse,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
73340,Diagnosis,61,"Aseptic necrosis of bone, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
82101,Diagnosis,61,Closed fracture of shaft of femur,Injury And Poisoning,"Injury, Poisoning & External Causes"
4718,Diagnosis,61,Other polyp of sinus,Diseases Of The Respiratory System,Diseases Of The Respiratory System
5749,Procedure,61,Other transurethral excision or destruction of lesion or tissue of bladder,Operations on the urinary system,Procedures & Surgeries
7855,Procedure,61,"Internal fixation of bone without fracture reduction, femur",Operations on the musculoskeletal system,Procedures & Surgeries
3556,Diagnosis,61,Lesion of plantar nerve,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V8534,Diagnosis,61,"Body Mass Index 34.0-34.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
59371,Diagnosis,61,"Vesicoureteral reflux with reflux nephropathy, unilateral",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
2398,Diagnosis,61,Neoplasm of unspecified nature of other specified sites,Neoplasms,Neoplasms
28983,Diagnosis,61,Myelofibrosis,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
7173,Diagnosis,61,Other and unspecified derangement of medial meniscus,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71995,Diagnosis,61,"Unspecified disorder of joint, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V750,Diagnosis,61,Screening examination for rickettsial diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V054,Diagnosis,61,Need for prophylactic vaccination and inoculation against varicella,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
1821,Diagnosis,61,Malignant neoplasm of isthmus,Neoplasms,Neoplasms
4572,Diagnosis,61,Lymphangitis,Diseases Of The Circulatory System,Diseases Of The Circulatory System
34560,Diagnosis,61,"Infantile spasms, without mention of intractable epilepsy",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71998,Diagnosis,61,"Unspecified disorder of joint, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V8537,Diagnosis,61,"Body Mass Index 37.0-37.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7960,Diagnosis,61,Nonspecific abnormal toxicological findings,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
27739,Diagnosis,61,Other amyloidosis,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
5891,Diagnosis,61,Bilateral small kidneys,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
V110,Diagnosis,61,Personal history of schizophrenia,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V070,Diagnosis,61,Need for isolation,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
9054,Diagnosis,60,Late effect of fracture of lower extremities,Injury And Poisoning,"Injury, Poisoning & External Causes"
9243,Diagnosis,60,Contusion of toe,Injury And Poisoning,"Injury, Poisoning & External Causes"
78051,Diagnosis,60,"Insomnia with sleep apnea, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
71909,Diagnosis,60,"Effusion of joint, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V1641,Diagnosis,60,Family history of malignant neoplasm of ovary,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
9233,Diagnosis,60,Contusion of finger,Injury And Poisoning,"Injury, Poisoning & External Causes"
20281,Diagnosis,60,"Other malignant lymphomas, lymph nodes of head, face, and neck",Neoplasms,Neoplasms
5272,Diagnosis,60,Sialoadenitis,Diseases Of The Digestive System,Diseases Of The Digestive System
47831,Diagnosis,60,"Unilateral paralysis of vocal cords or larynx, partial",Diseases Of The Respiratory System,Diseases Of The Respiratory System
71880,Diagnosis,60,"Other joint derangement, not elsewhere classified, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
72760,Diagnosis,60,Nontraumatic rupture of unspecified tendon,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
29900,Diagnosis,60,"Autistic disorder, current or active state",Mental Disorders,Mental Disorders
29381,Diagnosis,60,Psychotic disorder with delusions in conditions classified elsewhere,Mental Disorders,Mental Disorders
1510,Diagnosis,60,Malignant neoplasm of cardia,Neoplasms,Neoplasms
4719,Diagnosis,60,Unspecified nasal polyp,Diseases Of The Respiratory System,Diseases Of The Respiratory System
71895,Diagnosis,60,"Unspecified derangement of joint, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4481,Diagnosis,60,"Nevus, non-neoplastic",Diseases Of The Circulatory System,Diseases Of The Circulatory System
2912,Diagnosis,60,Alcohol-induced persisting dementia,Mental Disorders,Mental Disorders
8840,Diagnosis,60,"Multiple and unspecified open wound of upper limb, without mention of complication",Injury And Poisoning,"Injury, Poisoning & External Causes"
5756,Diagnosis,60,Cholesterolosis of gallbladder,Diseases Of The Digestive System,Diseases Of The Digestive System
8362,Diagnosis,60,"Other tear of cartilage or meniscus of knee, current",Injury And Poisoning,"Injury, Poisoning & External Causes"
4564,Diagnosis,60,Scrotal varices,Diseases Of The Circulatory System,Diseases Of The Circulatory System
8209,Diagnosis,60,Open fracture of unspecified part of neck of femur,Injury And Poisoning,"Injury, Poisoning & External Causes"
2862,Diagnosis,60,Congenital factor XI deficiency,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
37272,Diagnosis,60,Conjunctival hemorrhage,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71850,Diagnosis,60,"Ankylosis of joint, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
23691,Diagnosis,60,Neoplasm of uncertain behavior of kidney and ureter,Neoplasms,Neoplasms
78941,Diagnosis,60,"Abdominal rigidity, right upper quadrant","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
4531,Diagnosis,60,Thrombophlebitis migrans,Diseases Of The Circulatory System,Diseases Of The Circulatory System
71983,Diagnosis,60,"Other specified disorders of joint, forearm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V8525,Diagnosis,60,"Body Mass Index 29.0-29.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2388,Diagnosis,60,Neoplasm of uncertain behavior of other specified sites,Neoplasms,Neoplasms
2324,Diagnosis,60,Carcinoma in situ of scalp and skin of neck,Neoplasms,Neoplasms
2163,Diagnosis,60,Benign neoplasm of skin of other and unspecified parts of face,Neoplasms,Neoplasms
V7399,Diagnosis,60,Special screening examination for unspecified viral disease,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V133,Diagnosis,60,Personal history of diseases of skin and subcutaneous tissue,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
1968,Diagnosis,60,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,Neoplasms,Neoplasms
9986,Diagnosis,59,Persistent postoperative fistula,Injury And Poisoning,"Injury, Poisoning & External Causes"
71960,Diagnosis,59,"Other symptoms referable to joint, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
85400,Diagnosis,59,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
1508,Diagnosis,59,Malignant neoplasm of other specified part of esophagus,Neoplasms,Neoplasms
99791,Diagnosis,59,"Complications affecting other specified body systems, not elsewhere classified, hypertension",Injury And Poisoning,"Injury, Poisoning & External Causes"
2691,Diagnosis,59,Deficiency of other vitamins,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V1351,Diagnosis,59,Personal history of pathologic fracture,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
5651,Diagnosis,59,Anal fistula,Diseases Of The Digestive System,Diseases Of The Digestive System
99679,Diagnosis,59,"Other complications due to other internal prosthetic device, implant, and graft",Injury And Poisoning,"Injury, Poisoning & External Causes"
34570,Diagnosis,59,"Epilepsia partialis continua, without mention of intractable epilepsy",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
8741,Procedure,59,Computerized axial tomography of thorax,Miscellaneous diagnostic and therapeutic procedures,Procedures & Surgeries
99684,Diagnosis,59,Complications of transplanted lung,Injury And Poisoning,"Injury, Poisoning & External Causes"
40411,Diagnosis,59,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
1726,Diagnosis,59,"Malignant melanoma of skin of upper limb, including shoulder",Neoplasms,Neoplasms
2399,Diagnosis,59,"Neoplasm of unspecified nature, site unspecified",Neoplasms,Neoplasms
8469,Diagnosis,59,Sprain of unspecified site of sacroiliac region,Injury And Poisoning,"Injury, Poisoning & External Causes"
71890,Diagnosis,59,"Unspecified derangement of joint, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
1410,Diagnosis,59,Malignant neoplasm of base of tongue,Neoplasms,Neoplasms
V734,Diagnosis,59,Screening examination for yellow fever,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
3449,Diagnosis,59,"Paralysis, unspecified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71634,Diagnosis,59,"Climacteric arthritis, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
53521,Diagnosis,59,"Gastric mucosal hypertrophy, with hemorrhage",Diseases Of The Digestive System,Diseases Of The Digestive System
V746,Diagnosis,59,Screening examination for yaws,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71621,Diagnosis,59,"Allergic arthritis, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V1001,Diagnosis,59,Personal history of malignant neoplasm of tongue,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
4291,Diagnosis,59,Myocardial degeneration,Diseases Of The Circulatory System,Diseases Of The Circulatory System
78340,Diagnosis,59,"Lack of normal physiological development, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
99640,Diagnosis,59,"Unspecified mechanical complication of internal orthopedic device, implant, and graft",Injury And Poisoning,"Injury, Poisoning & External Causes"
53649,Diagnosis,59,Other gastrostomy complications,Diseases Of The Digestive System,Diseases Of The Digestive System
4421,Diagnosis,59,Aneurysm of renal artery,Diseases Of The Circulatory System,Diseases Of The Circulatory System
E9429,Diagnosis,59,Other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
7861,Diagnosis,59,Stridor,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V0260,Diagnosis,59,"Viral hepatitis carrier, unspecified",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V8535,Diagnosis,59,"Body Mass Index 35.0-35.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
53570,Diagnosis,59,"Eosinophilic gastritis, without mention of hemorrhage",Diseases Of The Digestive System,Diseases Of The Digestive System
71889,Diagnosis,59,"Other joint derangement, not elsewhere classified, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71651,Diagnosis,59,"Unspecified polyarthropathy or polyarthritis, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
57142,Diagnosis,59,Autoimmune hepatitis,Diseases Of The Digestive System,Diseases Of The Digestive System
4449,Diagnosis,59,Embolism and thrombosis of unspecified artery,Diseases Of The Circulatory System,Diseases Of The Circulatory System
22809,Diagnosis,59,Hemangioma of other sites,Neoplasms,Neoplasms
7828,Diagnosis,59,Changes in skin texture,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
1573,Diagnosis,59,Malignant neoplasm of pancreatic duct,Neoplasms,Neoplasms
7133,Diagnosis,59,Arthropathy associated with dermatological disorders,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
7285,Diagnosis,59,Hypermobility syndrome,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V4964,Diagnosis,59,Wrist amputation status,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7749,Procedure,59,"Biopsy of bone, other bones",Operations on the musculoskeletal system,Procedures & Surgeries
2980,Diagnosis,59,Depressive type psychosis,Mental Disorders,Mental Disorders
96509,Diagnosis,58,Poisoning by other opiates and related narcotics,Injury And Poisoning,"Injury, Poisoning & External Causes"
V166,Diagnosis,58,Family history of leukemia,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71997,Diagnosis,58,"Unspecified disorder of joint, ankle and foot",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
8246,Diagnosis,58,"Trimalleolar fracture, closed",Injury And Poisoning,"Injury, Poisoning & External Causes"
E8783,Diagnosis,58,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
71645,Diagnosis,58,"Transient arthropathy, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
6218,Diagnosis,58,"Other specified disorders of uterus, not elsewhere classified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
2167,Diagnosis,58,"Benign neoplasm of skin of lower limb, including hip",Neoplasms,Neoplasms
2389,Diagnosis,58,"Neoplasm of uncertain behavior, site unspecified",Neoplasms,Neoplasms
9061,Diagnosis,58,Late effect of open wound of extremities without mention of tendon injury,Injury And Poisoning,"Injury, Poisoning & External Causes"
9348,Diagnosis,58,Foreign body in other specified parts bronchus and lung,Injury And Poisoning,"Injury, Poisoning & External Causes"
36501,Diagnosis,58,Open angle with borderline glaucoma findings,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71967,Diagnosis,58,"Other symptoms referable to joint, ankle and foot",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
40509,Diagnosis,58,Other malignant secondary hypertension,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V069,Diagnosis,58,Unspecified combined vaccine,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
23877,Diagnosis,58,Post-transplant lymphoproliferative disorder (PTLD),Neoplasms,Neoplasms
9211,Diagnosis,58,Contusion of eyelids and periocular area,Injury And Poisoning,"Injury, Poisoning & External Causes"
73381,Diagnosis,58,Malunion of fracture,Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V019,Diagnosis,58,Contact with or exposure to unspecified communicable disease,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
34461,Diagnosis,58,Cauda equina syndrome with neurogenic bladder,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
71908,Diagnosis,58,"Effusion of joint, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
27906,Diagnosis,58,Common variable immunodeficiency,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
84213,Diagnosis,58,Sprain of interphalangeal (joint) of hand,Injury And Poisoning,"Injury, Poisoning & External Causes"
71904,Diagnosis,58,"Effusion of joint, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
44283,Diagnosis,58,Aneurysm of splenic artery,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V010,Diagnosis,58,Contact with or exposure to cholera,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71999,Diagnosis,58,"Unspecified disorder of joint, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4489,Diagnosis,58,Other and unspecified capillary diseases,Diseases Of The Circulatory System,Diseases Of The Circulatory System
71929,Diagnosis,58,"Villonodular synovitis, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
34680,Diagnosis,58,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
8931,Diagnosis,58,"Open wound of toe(s), complicated",Injury And Poisoning,"Injury, Poisoning & External Causes"
79582,Diagnosis,58,Elevated cancer antigen 125 [CA 125],"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
5963,Diagnosis,58,Diverticulum of bladder,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
5692,Diagnosis,58,Stenosis of rectum and anus,Diseases Of The Digestive System,Diseases Of The Digestive System
V1241,Diagnosis,58,Personal history of benign neoplasm of the brain,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
5961,Diagnosis,57,Intestinovesical fistula,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
82003,Diagnosis,57,Closed fracture of base of neck of femur,Injury And Poisoning,"Injury, Poisoning & External Causes"
V045,Diagnosis,57,Need for prophylactic vaccination and inoculation against rabies,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
6186,Diagnosis,57,"Vaginal enterocele, congenital or acquired",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
7080,Diagnosis,57,Allergic urticaria,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
3555,Diagnosis,57,Tarsal tunnel syndrome,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
79981,Diagnosis,57,Decreased libido,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
V759,Diagnosis,57,Screening examination for unspecified infectious disease,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V8533,Diagnosis,57,"Body Mass Index 33.0-33.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
7397,Diagnosis,57,"Nonallopathic lesions, upper extremities",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
28950,Diagnosis,57,"Disease of spleen, unspecified",Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
22804,Diagnosis,57,Hemangioma of intra-abdominal structures,Neoplasms,Neoplasms
4870,Diagnosis,57,Influenza with pneumonia,Diseases Of The Respiratory System,Diseases Of The Respiratory System
2984,Diagnosis,57,Psychogenic paranoid psychosis,Mental Disorders,Mental Disorders
V0189,Diagnosis,57,Contact with or exposure to other communicable diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V744,Diagnosis,57,Screening examination for bacterial conjunctivitis,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
70582,Diagnosis,57,Fox-Fordyce disease,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
71892,Diagnosis,57,"Unspecified derangement of joint, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
8485,Diagnosis,57,Sprain of pelvic,Injury And Poisoning,"Injury, Poisoning & External Causes"
2706,Diagnosis,57,Disorders of urea cycle metabolism,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
0430,Diagnosis,57,Subarachnoid hemorrhage,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
8463,Diagnosis,57,Sprain of sacrotuberous (ligament),Injury And Poisoning,"Injury, Poisoning & External Causes"
71640,Diagnosis,57,"Transient arthropathy, site unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
29594,Diagnosis,57,"Unspecified schizophrenia, chronic with acute exacerbation",Mental Disorders,Mental Disorders
V425,Diagnosis,57,Cornea replaced by transplant,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
44281,Diagnosis,57,Aneurysm of artery of neck,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V068,Diagnosis,57,Need for prophylactic vaccination and inoculation against other combinations of diseases,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
53200,Diagnosis,56,"Acute duodenal ulcer with hemorrhage, without mention of obstruction",Diseases Of The Digestive System,Diseases Of The Digestive System
29550,Diagnosis,56,"Latent schizophrenia, unspecified",Mental Disorders,Mental Disorders
7355,Diagnosis,56,Claw toe (acquired),Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71644,Diagnosis,56,"Transient arthropathy, hand",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71655,Diagnosis,56,"Unspecified polyarthropathy or polyarthritis, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
V060,Diagnosis,56,Need for prophylactic vaccination and inoculation against cholera with typhoid-paratyphoid [cholera + TAB],Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
30742,Diagnosis,56,Persistent disorder of initiating or maintaining sleep,Mental Disorders,Mental Disorders
V732,Diagnosis,56,Screening examination for measles,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71635,Diagnosis,56,"Climacteric arthritis, pelvic region and thigh",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
3480,Diagnosis,56,Cerebral cysts,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
V754,Diagnosis,56,Screening examination for mycotic infections,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
71689,Diagnosis,56,"Other specified arthropathy, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
75989,Diagnosis,56,Other specified congenital anomalies,Congenital Anomalies,Congenital Anomalies
7399,Diagnosis,56,"Nonallopathic lesions, abdomen and other sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
9172,Diagnosis,56,"Blister of foot and toe(s), without mention of infection",Injury And Poisoning,"Injury, Poisoning & External Causes"
4378,Diagnosis,56,Other ill-defined cerebrovascular disease,Diseases Of The Circulatory System,Diseases Of The Circulatory System
5361,Diagnosis,56,Acute dilatation of stomach,Diseases Of The Digestive System,Diseases Of The Digestive System
V8523,Diagnosis,56,"Body Mass Index 27.0-27.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
6264,Diagnosis,56,Irregular menstrual cycle,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
3327,Procedure,56,Closed endoscopic biopsy of lung,Operations on the respiratory system,Procedures & Surgeries
5991,Diagnosis,56,Urethral fistula,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
71926,Diagnosis,56,"Villonodular synovitis, lower leg",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
71991,Diagnosis,56,"Unspecified disorder of joint, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
9895,Diagnosis,56,Toxic effect of venom,Injury And Poisoning,"Injury, Poisoning & External Causes"
1725,Diagnosis,56,"Malignant melanoma of skin of trunk, except scrotum",Neoplasms,Neoplasms
3249,Diagnosis,56,Intracranial and intraspinal abscess of unspecified site,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
33828,Diagnosis,56,Other chronic postoperative pain,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
2112,Diagnosis,56,"Benign neoplasm of duodenum, jejunum, and ileum",Neoplasms,Neoplasms
V652,Diagnosis,56,Person feigning illness,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
V8531,Diagnosis,56,"Body Mass Index 31.0-31.9, adult",Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
30421,Diagnosis,56,"Cocaine dependence, continuous",Mental Disorders,Mental Disorders
71962,Diagnosis,56,"Other symptoms referable to joint, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
79402,Diagnosis,56,Nonspecific abnormal electroencephalogram [EEG],"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
27910,Diagnosis,56,"Immunodeficiency with predominant T-cell defect, unspecified","Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
71652,Diagnosis,56,"Unspecified polyarthropathy or polyarthritis, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
6084,Diagnosis,56,Other inflammatory disorders of male genital organs,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
3533,Diagnosis,56,"Thoracic root lesions, not elsewhere classified",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
59373,Diagnosis,56,Other vesicoureteral reflux with reflux nephropathy NOS,Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
7069,Diagnosis,56,Unspecified disease of sebaceous glands,Diseases Of The Skin And Subcutaneous Tissue,Diseases Of The Skin
9057,Diagnosis,56,Late effect of sprain and strain without mention of tendon injury,Injury And Poisoning,"Injury, Poisoning & External Causes"
53561,Diagnosis,56,"Duodenitis, with hemorrhage",Diseases Of The Digestive System,Diseases Of The Digestive System
44102,Diagnosis,55,"Dissection of aorta, abdominal",Diseases Of The Circulatory System,Diseases Of The Circulatory System
71911,Diagnosis,55,"Hemarthrosis, shoulder region",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
42651,Diagnosis,55,Right bundle branch block and left posterior fascicular block,Diseases Of The Circulatory System,Diseases Of The Circulatory System
03843,Diagnosis,55,Septicemia due to pseudomonas,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
40402,Diagnosis,55,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease",Diseases Of The Circulatory System,Diseases Of The Circulatory System
71982,Diagnosis,55,"Other specified disorders of joint, upper arm",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
4566,Diagnosis,55,Vulval varices,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V1649,Diagnosis,55,Family history of malignant neoplasm of other,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
9992,Diagnosis,55,"Other vascular complications of medical care, not elsewhere classified",Injury And Poisoning,"Injury, Poisoning & External Causes"
